InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,IsCancelled,IsGuestCheckout,TotalPrice
537540,22423,REGENCY CAKESTAND 3 TIER,16,2019-01-04 20:57:00,12.37,16174,France,False,False,197.92
536196,21755,LOVE BUILDING BLOCK WORD,5,2019-10-08 10:13:00,6.01,,Switzerland,False,True,30.05
536933,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,2019-01-02 12:12:00,3.96,18162,Belgium,False,False,11.88
537451,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2019-05-31 00:00:00,2.69,16784,Netherlands,False,False,8.07
537427,84879,ASSORTED COLOUR BIRD ORNAMENT,18,2019-11-03 06:24:00,1.56,12411,Australia,False,False,28.08
537457,84406B,CREAM CUPID HEARTS COAT HANGER,15,2019-06-12 12:13:00,2.51,15137,France,False,False,37.65
536236,71270,PINK CRYSTAL GUITAR PHONE CHARM,9,2019-10-04 00:00:00,1.33,14444,Belgium,False,False,11.97
536706,71053,WHITE METAL LANTERN,1,2019-07-29 19:50:00,3.17,17023,Netherlands,False,False,3.17
536507,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2019-03-06 00:00:00,2.6,16658,EIRE,False,False,31.2
536429,22752,SET 7 BABUSHKA NESTING BOXES,7,2019-04-23 10:55:00,7.79,12809,EIRE,False,False,54.53
536463,22423,REGENCY CAKESTAND 3 TIER,18,2019-08-13 15:53:00,12.11,17510,Germany,False,False,217.98
537389,84406B,CREAM CUPID HEARTS COAT HANGER,10,2019-03-29 22:54:00,2.77,12746,Australia,False,False,27.7
537052,84879,ASSORTED COLOUR BIRD ORNAMENT,6,2019-09-16 08:02:00,1.77,16200,Switzerland,False,False,10.62
536649,22960,JAM MAKING SET WITH JARS,11,2019-05-13 17:06:00,4.69,12470,Netherlands,False,False,51.59
536807,22960,JAM MAKING SET WITH JARS,3,2019-06-21 20:33:00,4.46,16656,Portugal,False,False,13.38
537632,22752,SET 7 BABUSHKA NESTING BOXES,6,2019-08-04 00:00:00,7.8,,France,False,True,46.8
536119,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2019-11-11 04:56:00,2.38,14025,Australia,False,False,2.38
536379,71053,WHITE METAL LANTERN,14,2019-03-22 01:41:00,3.24,15174,Belgium,False,False,45.36
537221,84879,ASSORTED COLOUR BIRD ORNAMENT,19,2019-04-07 08:23:00,1.63,,France,False,True,30.97
536233,71270,PINK CRYSTAL GUITAR PHONE CHARM,12,2019-07-14 16:18:00,1.21,16820,Switzerland,False,False,14.52
536065,84406B,CREAM CUPID HEARTS COAT HANGER,5,2019-07-23 10:54:00,2.98,18098,Belgium,False,False,14.9
536542,22960,JAM MAKING SET WITH JARS,12,2019-10-05 00:00:00,5.02,12404,Germany,False,False,60.24
537329,84406B,CREAM CUPID HEARTS COAT HANGER,14,2019-03-16 00:00:00,2.83,14793,Germany,False,False,39.62
C537420,22752,SET 7 BABUSHKA NESTING BOXES,-9,2019-08-19 03:23:00,8.1,15849,United Kingdom,True,False,-72.9
537007,22960,JAM MAKING SET WITH JARS,6,2019-05-09 11:53:00,4.84,13566,EIRE,False,False,29.04
537578,22423,REGENCY CAKESTAND 3 TIER,3,2019-02-21 06:15:00,13.69,15608,Australia,False,False,41.07
536890,22423,REGENCY CAKESTAND 3 TIER,14,2019-03-16 19:52:00,12.83,16464,Portugal,False,False,179.62
536631,71053,WHITE METAL LANTERN,5,2019-07-28 03:51:00,3.63,17693,Switzerland,False,False,18.15
536318,71270,PINK CRYSTAL GUITAR PHONE CHARM,14,2019-04-15 00:00:00,1.26,13115,EIRE,False,False,17.64
537438,22752,SET 7 BABUSHKA NESTING BOXES,15,2019-02-08 00:05:00,7.74,13703,France,False,False,116.1
536644,22423,REGENCY CAKESTAND 3 TIER,12,2019-10-13 00:00:00,11.86,17413,Spain,False,False,142.32
536198,71053,WHITE METAL LANTERN,1,2019-03-06 23:41:00,3.57,13947,United Kingdom,False,False,3.57
537278,84406B,CREAM CUPID HEARTS COAT HANGER,12,2019-01-22 21:35:00,2.59,15618,Netherlands,False,False,31.08
536631,22960,JAM MAKING SET WITH JARS,2,2019-01-05 00:12:00,4.81,,Australia,False,True,9.62
C537215,21730,GLASS STAR FROSTED T-LIGHT HOLDER,-13,2019-09-04 00:00:00,4.21,14946,Australia,True,False,-54.73
536026,22960,JAM MAKING SET WITH JARS,5,2019-07-04 00:00:00,4.82,,EIRE,False,True,24.1
537524,84406B,CREAM CUPID HEARTS COAT HANGER,18,2019-06-25 23:27:00,2.66,17201,Australia,False,False,47.88
536241,71270,PINK CRYSTAL GUITAR PHONE CHARM,12,2019-07-18 00:00:00,1.28,,United Kingdom,False,True,15.36
536598,22752,SET 7 BABUSHKA NESTING BOXES,5,2019-05-21 16:33:00,7.55,14566,EIRE,False,False,37.75
536695,71053,WHITE METAL LANTERN,1,2019-09-15 00:00:00,3.09,14780,Portugal,False,False,3.09
537539,21755,LOVE BUILDING BLOCK WORD,18,2019-09-20 00:00:00,6.03,13656,Germany,False,False,108.54
536231,22752,SET 7 BABUSHKA NESTING BOXES,3,2019-02-03 15:18:00,7.04,13656,EIRE,False,False,21.12
536846,71053,WHITE METAL LANTERN,3,2019-05-10 09:00:00,3.43,15372,Netherlands,False,False,10.29
537547,21730,GLASS STAR FROSTED T-LIGHT HOLDER,8,2019-01-05 13:47:00,4.4,16189,Netherlands,False,False,35.2
