InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
537540,22423,,16,04/01/2019 20:57,12.37,16174.0,France
536196,21755,  LOVE BUILDING BLOCK WORD  ,5,2019-10-08 10:13:00,6.01,,switzerland
536933,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,02/01/2019 12:12,3.96,18162.0,Belgium
537451,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,05-31-2019,2.69,16784.0,Netherlands
537427,84879,  ASSORTED COLOUR BIRD ORNAMENT  ,18,2019-11-03 06:24:00,1.56,12411.0,  Australia  
537457,84406B,CREAM CUPID HEARTS COAT HANGER,15,2019-06-12 12:13:00,2.51,15137.0,france
536236,71270,  PINK CRYSTAL GUITAR PHONE CHARM  ,9,10-04-2019,1.33,14444.0,Belgium
536706,71053,WHITE METAL LANTERN,1,2019-07-29 19:50:00,3.17,17023.0,Netherlands
536507,85123A,  WHITE HANGING HEART T-LIGHT HOLDER  ,12,03-06-2019,2.6,16658.0,EIRE
536429,22752,SET 7 BABUSHKA NESTING BOXES,7,23/04/2019 10:55,7.79,12809.0,eire
536463,22423,REGENCY CAKESTAND 3 TIER,18,2019-08-13 15:53:00,12.11,17510.0,germany
537389,84406B,CREAM CUPID HEARTS COAT HANGER,10,2019-03-29 22:54:00,2.77,12746.0,Australia
537052,84879,ASSORTED COLOUR BIRD ORNAMENT,6,2019-09-16 08:02:00,1.77,16200.0,Switzerland
536649,22960,  JAM MAKING SET WITH JARS  ,11,2019-05-13 17:06:00,4.69,12470.0,Netherlands
536807,22960,JAM MAKING SET WITH JARS,3,21/06/2019 20:33,4.46,16656.0,Portugal
537632,22752,SET 7 BABUSHKA NESTING BOXES,6,08-04-2019,7.8,,  France  
536119,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2019-11-11 04:56:00,2.38,14025.0,Australia
536379,71053,WHITE METAL LANTERN,14,2019-03-22 01:41:00,3.24,15174.0,Belgium
537221,84879,ASSORTED COLOUR BIRD ORNAMENT,19,2019-04-07 08:23:00,1.63,,France
536233,71270,PINK CRYSTAL GUITAR PHONE CHARM,12,14/07/2019 16:18,1.21,16820.0,  Switzerland  
536065,84406B,CREAM CUPID HEARTS COAT HANGER,5,23/07/2019 10:54,2.98,18098.0,  Belgium  
536542,22960,JAM MAKING SET WITH JARS,12,10-05-2019,5.02,12404.0,germany
537329,84406B,CREAM CUPID HEARTS COAT HANGER,14,03-16-2019,2.83,14793.0,Germany
C537420,22752,  SET 7 BABUSHKA NESTING BOXES  ,-9,2019-08-19 03:23:00,8.1,15849.0,United Kingdom
537007,22960,JAM MAKING SET WITH JARS,6,2019-05-09 11:53:00,4.84,13566.0,EIRE
537578,22423,REGENCY CAKESTAND 3 TIER,3,2019-02-21 06:15:00,13.69,15608.0,Australia
536890,22423,REGENCY CAKESTAND 3 TIER,14,2019-03-16 19:52:00,12.83,16464.0,portugal
536631,71053,WHITE METAL LANTERN,5,28/07/2019 03:51,3.63,17693.0,Switzerland
536318,71270,pink crystal guitar phone charm,14,04-15-2019,1.26,13115.0,EIRE
537438,22752,set 7 babushka nesting boxes,15,2019-02-08 00:05:00,7.74,13703.0,France
536644,22423,REGENCY CAKESTAND 3 TIER,12,10-13-2019,11.86,17413.0,spain
536198,71053,WHITE METAL LANTERN,1,2019-03-06 23:41:00,3.57,13947.0,United Kingdom
537278,84406B,CREAM CUPID HEARTS COAT HANGER,12,2019-01-22 21:35:00,2.59,15618.0,Netherlands
536631,22960,JAM MAKING SET WITH JARS,2,05/01/2019 00:12,4.81,,australia
C537215,21730,GLASS STAR FROSTED T-LIGHT HOLDER,-13,09-04-2019,4.21,14946.0,Australia
536026,22960,  JAM MAKING SET WITH JARS  ,5,07-04-2019,4.82,,EIRE
537524,84406B,cream cupid hearts coat hanger,18,25/06/2019 23:27,2.66,17201.0,  Australia  
536241,71270,PINK CRYSTAL GUITAR PHONE CHARM,12,07-18-2019,1.28,,United Kingdom
536598,22752,SET 7 BABUSHKA NESTING BOXES,5,2019-05-21 16:33:00,7.55,14566.0,EIRE
536695,71053,WHITE METAL LANTERN,1,09-15-2019,3.09,14780.0,Portugal
537539,21755,LOVE BUILDING BLOCK WORD,18,09-20-2019,6.03,13656.0,Germany
536231,22752,set 7 babushka nesting boxes,3,2019-02-03 15:18:00,7.04,13656.0,  EIRE  
536846,71053,white metal lantern,3,10/05/2019 09:00,3.43,15372.0,netherlands
537547,21730,GLASS STAR FROSTED T-LIGHT HOLDER,8,2019-01-05 13:47:00,4.4,16189.0,Netherlands
537452,22752,  SET 7 BABUSHKA NESTING BOXES  ,17,02-04-2019,8.31,13421.0,United Kingdom
537359,22423,  REGENCY CAKESTAND 3 TIER  ,19,11-05-2019,13.91,14612.0,Switzerland
C536921,84406B,  CREAM CUPID HEARTS COAT HANGER  ,-17,28/05/2019 07:36,2.71,17798.0,Switzerland
537268,71270,PINK CRYSTAL GUITAR PHONE CHARM,4,09-05-2019,1.29,18272.0,Netherlands
536684,21755,LOVE BUILDING BLOCK WORD,17,15/02/2019 09:56,6.04,17043.0,portugal
537338,21755,LOVE BUILDING BLOCK WORD,7,06-13-2019,6.48,13686.0,Portugal
536207,71270,PINK CRYSTAL GUITAR PHONE CHARM,3,2019-11-25 23:01:00,1.28,13457.0,Spain
537615,22960,JAM MAKING SET WITH JARS,6,04-18-2019,4.76,,Germany
536590,22423,REGENCY CAKESTAND 3 TIER,13,03/03/2019 17:53,13.4,13611.0,France
536153,71270,PINK CRYSTAL GUITAR PHONE CHARM,1,2019-05-14 18:27:00,1.23,15546.0,Switzerland
536785,85123A,  WHITE HANGING HEART T-LIGHT HOLDER  ,2,05/05/2019 13:38,2.31,14753.0,France
536597,85123A,WHITE HANGING HEART T-LIGHT HOLDER,18,2019-05-05 17:13:00,2.51,16256.0,germany
537531,22960,JAM MAKING SET WITH JARS,3,2019-03-19 07:29:00,4.53,12756.0,Belgium
C536266,84406B,cream cupid hearts coat hanger,-11,2019-07-26 03:42:00,2.53,15725.0,Australia
536710,22423,REGENCY CAKESTAND 3 TIER,15,2019-08-07 15:24:00,12.15,14872.0,United Kingdom
536394,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,28/02/2019 07:35,2.5,14739.0,Australia
